Frequency	Input	License	Tone	Description	Category	Tag	Updated
452.275000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.375000				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
452.387500		WPNS932		East School - Maintenance	Pocono Mountain School District	Schools	2021-12-18
452.400000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.450000	457.45000	WPQJ753	031 DPL	Indian Mountain Lake - Operations	Residential Communities	Business	2017-10-07
452.450000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
452.475000		WNHJ223	546 DPL	Raceway Use	Pocono Raceway	Business	2017-06-12
452.500000				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
452.500000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.650000				Site 001 Primary	Mount Airy Casino Resort	TRS	2014-02-05
452.675000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.750000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.825000				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
452.850000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.887500		WQAW315	023 DPL	High School	Stroudsburg Area School District	Schools	2023-06-03
452.887500	457.88750	WQVL964		Camelback Lodge & Waterpark - Maintenance	Attractions	Business	2017-08-06
453.075000	458.07500	WPGV974	664 DPL	Fire North	Fire	Fire-Tac	2015-12-12
453.125000	458.12500	WQG366	265 DPL	Emergency / Mutual Aid (Countywide)	Emergency Management	Interop	2009-01-11
453.200000		WNMH302	210.7 PL	Monroe County Correctional Facility Ops1	Law Enforcement	Corrections	2014-05-29
453.262500	458.26250	WPUG892	503 DPL	Public Works	Stroudsburg Borough	Public Works	2023-06-03
453.287500	458.28750	KNNY470	343 DPL	Windgap Repeater	Blue Ridge Hook and Ladder Fire Co	Fire-Tac	2026-03-03
453.387500	458.38750	WQAI283	723 DPL	Fire Dept Private	Jackson Township	Fire-Talk	2021-04-16
453.412500	458.41250	WPKS910	244 DPL	Fire Repeater	Fire	Fire-Tac	2013-09-01
453.425000	458.42500	KNHT419	223 DPL	Incident Command	Emergency Management	Emergency Ops	2019-07-15
453.450000	458.45000	WPGU667	516 DPL	EMS Services (Monroe County)	Pocono Raceway	EMS-Tac	2017-06-12
453.450000	458.45000	WPGU667	516 DPL	EMS Command	EMS	EMS-Tac	2020-01-10
453.500000		WPPA476	162 DPL	Services	Pocono Township	Public Works	2011-05-17
453.500000		WPPA476	162 DPL	Fire Station 37 - Private Channel	Stroud Township	Fire-Talk	2018-03-07
453.525000	458.52500	WQWB396	118.8 PL	Fire Central	Fire	Fire-Tac	2015-12-12
453.537500		WPKS910	664 DPL	Fire Tactical	Fire	Fire-Tac	2016-06-06
453.550000		WPTE877	192.8 PL	Monroe County Correctional Facility 3	Law Enforcement	Corrections	2014-05-29
453.550000	458.55000	WPTE877	172 DPL	County Maintenance	Stroudsburg Borough	Public Works	2023-06-03
453.587500		WPGY667		Fireground 1	Fire	Fire-Talk	2013-01-02
453.612500	458.61250	WQAI283	723 DPL	Highway Department	Jackson Township	Public Works	2011-05-17
453.637500		WPGY667		Fireground 3	Fire	Fire-Talk	2013-01-02
453.712500		WPGY667		Fireground 5	Fire	Fire-Talk	2013-01-02
453.750000	458.75000	WPGF508	CSQ	Fire/EMS Dispatch	Fire	Fire Dispatch	2013-08-03
453.925000	458.92500	WQBR917	546 DPL	East Stroudsburg Fire Dept	East Stroudsburg Borough	Fire-Talk	2017-09-04
454.000000				MRN Radio Broadcast	Pocono Raceway	Media	2017-07-31
454.100000				Indy Car Radio - Track Broadcast	Pocono Raceway	Business	2017-08-23
454.218750				Site 024 Tannersville	Mid-Atlantic Digital Radio Network	TRS	2019-01-03
454.400000				CBS Sports IFB Feeds	Pocono Raceway	Media	2017-07-31
454.550000				Site 024 Tannersville	Mid-Atlantic Digital Radio Network	TRS	2019-01-03
455.362500				Mount Airy Casino Resort - Maintenance	Miscellaneous	Business	2014-10-10
456.512500		WQAW315	223 DPL	Junior High School	Stroudsburg Area School District	Schools	2023-06-03
457.000000		WNHJ223	346 DPL	Raceway Use	Pocono Raceway	Business	2017-06-12
457.325000		WNHJ223	223 DPL	Parking Control	Pocono Raceway	Business	2017-06-12
457.862500			664 DPL	FedEx Ground Distribution (Pocono Summit)	Delivery Service	Business	2014-10-18
457.887500		WQAW315	223 DPL	Chipperfield Elementary	Stroudsburg Area School District	Schools	2023-06-03
458.587500		WPGY667		Fireground 2	Fire	Fire-Talk	2013-01-02
458.637500		WPGY667		Fireground 4	Fire	Fire-Talk	2013-01-02
458.712500		WPGY667		Fireground 6	Fire	Fire-Talk	2013-01-02
460.075000		WPJJ748	165 DPL	Fire Private Channel	Stroudsburg Borough	Fire-Tac	2018-03-07
460.100000			054 DPL	Monroe County Correctional Facility Ops2	Law Enforcement	Corrections	2014-05-29
460.112500	465.11250	WQYS852	114.8 PL	Marshalls Creek Fire Dept - Ops	Marshall's Creek Fire Department	Fire-Talk	2024-10-22
460.125000	465.12500	WNMN250	186.2 PL	Monroe County State Constables	Eldred Township	Law Dispatch	2017-10-28
460.150000	465.15000	WNXP562	74.4 PL	Pocono Mountain Regional Police	Law Enforcement	Law Dispatch	2015-07-28
460.250000	465.25000	KNNY470	343 DPL	Haney Repeater	Blue Ridge Hook and Ladder Fire Co	Fire-Tac	2026-03-03
460.275000	465.27500	WPGA937	2C3 NAC	Interop	Emergency Management	Interop	2019-08-13
460.275000	465.27500	WPGA937	156.7 PL	PA State 800mhz Link	Pocono Raceway	Law Tac	2017-06-12
460.275000	465.27500	WPGA937	156.7 PL	Police Tactical	Law Enforcement	Law Tac	2014-06-04
460.300000	465.30000	WNMJ327	662 DPL	Fire Northeast	Fire	Fire-Tac	2015-12-12
460.400000	465.40000	WNXC575	343 DPL	Pocono Township Police	Law Enforcement	Law Dispatch	2015-07-28
460.425000	465.42500	WPEP951	343 DPL	Countywide	Law Enforcement	Law Dispatch	2014-06-04
460.500000	465.50000	WNWU445	71.9 PL	Dispatch South	Law Enforcement	Law Dispatch	2014-06-04
460.525000	465.52500	WPGV974	664 DPL	Fire South	Fire	Fire-Tac	2015-12-12
460.575000	465.57500	WPGU667	664 DPL	Fire West	Fire	Fire-Tac	2013-01-11
460.612500	465.61250	WPKU491	343 DPL	Tobyhanna Twp Vol Fire Co - Private Channel	Tobyhanna Township	Fire Dispatch	2018-03-07
460.625000	465.62500	WPGV974	664 DPL	Fire East	Fire	Fire-Tac	2015-12-12
461.037500			047 DPL	Borgers Speedway - Saylorsburg	Miscellaneous	Business	2013-07-22
461.112500			131 DPL	Trexler Scout Reservation - Jonas	Miscellaneous	Business	2015-07-24
461.137500			100.0 PL	Great Wolf Lodge - Lifeguards	Miscellaneous	Business	2014-06-04
461.200000	466.20000		432 DPL	NASCAR Control Link	Pocono Raceway	Business	2017-06-12
461.200000	466.20000	WQBE990	132 DPL	Fire Station 42 - Private Channel	Tunkhannock Township	Fire-Talk	2018-03-07
461.275000	466.27500		043 DPL	Road Department	Polk Township	Public Works	2018-03-07
461.300000				Site 001 Confirmed LCN	Pocono Mountain School District	TRS	2014-09-09
461.375000	466.37500	WPMW990	703 DPL	Lake Naomi Club Ch.2 - Lifeguards/Ops	Residential Communities	Business	2014-07-16
461.387500				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
461.400000				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
461.412500	466.41250	WPXQ983		Security 1	Lehigh Valley Hospital - Pocono	Security	2017-01-01
461.412500	466.41250	WPXQ983		Maintenance 1	Lehigh Valley Hospital - Pocono	Business	2017-01-01
461.412500	466.41250	WPXQ983		Main Talk-Around	Lehigh Valley Hospital - Pocono	Business	2017-01-01
461.412500	466.41250	WPXQ983	134 DPL	Security - Analog Backup	Lehigh Valley Hospital - Pocono	Security	2017-01-01
461.437500	466.43750	WNUL869	143 DPL	Operations	Pleasant Valley School District	Schools	2013-05-16
461.462500	466.46250	WPXQ983		Maintenance 2	Lehigh Valley Hospital - Pocono	Business	2017-01-01
461.462500	466.46250	WPXQ983		Contractors	Lehigh Valley Hospital - Pocono	Business	2017-01-01
461.462500	466.46250	WPXQ983	165 DPL	Maintenance - Analog Backup	Lehigh Valley Hospital - Pocono	Business	2017-01-01
461.600000				Site 001 Confirmed LCN	Pocono Mountain School District	TRS	2014-09-09
461.625000	466.62500	WNUL869	125 DPL	Staff	Pleasant Valley School District	Schools	2013-05-17
461.700000		WQAW315	223 DPL	Operations	Stroudsburg Area School District	Schools	2023-06-03
461.762500				Site 001 Confirmed LCN	Industrial Electronics (Blakeslee)	TRS	2012-04-16
461.800000	466.80000	WPNU886		Fixed Routes - Main	County Transit Authority	Transportation	2017-01-01
461.800000		WPNU886		Fixed Routes - Talk-Around	County Transit Authority	Transportation	2017-01-01
461.800000	466.80000	WPNU886		Shared Ride - Main	County Transit Authority	Transportation	2017-01-01
461.800000		WPNU886		Shared Ride - Talk-Around	County Transit Authority	Transportation	2017-01-01
461.800000		WPNU886	156.7 PL	Operations - Analog Backup	County Transit Authority	Transportation	2017-01-01
461.850000				Site 001 Confirmed LCN	Industrial Electronics (Blakeslee)	TRS	2012-04-16
461.850000				Site 002 Unconfirmed LCN	Industrial Electronics (Blakeslee)	TRS	2010-05-30
461.850000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
461.862500	466.86250	WPVZ924	156 DPL	East Campus	Pocono Mountain School District	Schools	2014-02-14
461.900000	466.90000	WPMW990	412 DPL	Lake Naomi Club Ch.3 - Recreation Services	Residential Communities	Business	2014-07-16
461.912500	465.91250	WQOK955	703 DPL	Operations	Monroe Career & Technical Institute	Schools	2015-05-05
461.912500				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
461.950000	466.95000	WPUK581		Maintenance	Walmart Distribution Center - Tobyhanna	Business	2020-05-08
461.950000	466.95000	WPUK581		Spare Channel	Walmart Distribution Center - Tobyhanna	Business	2020-05-08
461.975000			331 DPL	Pocono Summit Vol Fire Co - Private Channel	Tobyhanna Township	Fire-Tac	2018-03-07
462.025000	467.02500	KNDG321	754 DPL	Pocono Mountain School District	Pocono Mountain School District	Schools	2013-01-13
462.025000		KNDG321		Pocono Mountain East School	Pocono Mountain School District	Schools	2021-12-18
462.050000				Site 001 Confirmed LCN	Pocono Mountain School District	TRS	2014-09-09
462.075000				Site 001 Primary	Mount Airy Casino Resort	TRS	2014-02-05
462.087500				Site 001 Confirmed LCN	East Stroudsburg University	TRS	2015-03-05
462.112500				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
462.112500				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
462.150000		KNDG321		Pocono Mountain East School	Pocono Mountain School District	Schools	2021-12-18
462.162500	467.16250	WPVZ924	156 DPL	West Campus - Staff	Pocono Mountain School District	Schools	2013-11-07
462.225000	467.22500	WQCB941	731 DPL	Stroud Mall - Operations	Retail Operations	Business	2017-10-16
462.300000	467.30000	WPTK331	703 DPL	Admin/Transportation	Stroudsburg Area School District	Schools	2013-01-13
462.350000	467.35000	WPUK581		Asset Protection	Walmart Distribution Center - Tobyhanna	Security	2020-05-08
462.350000	467.35000	WPUK581		RSR/Forklift Ops	Walmart Distribution Center - Tobyhanna	Business	2020-05-08
462.400000	467.40000	WPTC980	732 DPL	A Pocono Country Place (Voice Inversion)	Residential Communities	Business	2014-02-14
462.400000	467.40000	WPTC980	654 DPL	A Pocono Country Place - Public Safety	Residential Communities	Business	2014-02-14
462.400000		WPTC980		Pocono Country Place Tobyhanna	Residential Communities	Business	2019-07-28
462.425000	467.42500	WPUK581		Yard Ops	Walmart Distribution Center - Tobyhanna	Business	2020-05-08
462.425000	467.42500	WPUK581		Product Flow Control	Walmart Distribution Center - Tobyhanna	Business	2020-05-08
462.462500		WQAW315	223 DPL	Staff Ops	Stroudsburg Area School District	Schools	2023-06-03
462.500000			051 DPL	Venezia Mill Operations - Mt Pocono	Retail Operations	Business	2017-07-07
462.500000		WQBB963	054 DPL	Tamiment Resort	Hotels	Business	2012-08-08
